römork tipi;No;PARÇA NUMARASI;Malzeme;"Sac 
Levha 
Kalınlığı";Bilesen;"Ağırlık 
(kg)";Adet;
775 (300x150);1;733_002_YEKPARE_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";16,9;1;
775 (300x150);2;733_003_SASE_EK_PARCA;"1.0037 
(S235JR)";;"100x50x2 
K.P.";4,67;2;
775 (300x150);3;727_014_DINGIL_BAGLANTI_SACI;"1.0037 
(S235JR)";5;;0,87;2;
775 (300x150);4;733_004_TAMPON_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";4,29;1;
775 (300x150);5;733_005_ARA_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";4,1;3;
775 (300x150);6;728_019_ARIS_ARA_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";1,61;1;
775 (300x150);7;727_020_DENGE_AYAK_SASESI;"1.0037 
(S235JR)";3;;1,01;2;
775 (300x150);8;727_032_PILOT_TEKER_DESTEK_SACI;"1.0037 
(S235JR)";3;;0,18;1;
775 (300x150);9;727_011_DESTEK_SACI_04;"1.0037 
(S235JR)";3;;0,05;4;
775 (300x150);10;727_013_DESTEK_SACI_06;"1.0037 
(S235JR)";3;;0,05;4;
775 (300x150);11;S04_002_M12_FIBERLI_SOMUN_Din_985;;;;;2;
775 (300x150);12;S03_013_M12_PUL_Din_125;;;;;2;
775 (300x150);13;S03_007_M8_PUL_Din_125;;;;;22;
775 (300x150);14;S04_010_M8_FIBERLI_SOMUN_DIN985;;;;;22;
775 (300x150);15;S02_015_M8x20_Din_933_AKB;;;;;8;
775 (300x150);16;733_008_TAMPON;"1.0037 
(S235JR)";2;;4,35;1;
775 (300x150);17;727_019_TAMPON_DESTEK_SACI;"1.0037 
(S235JR)";3;;0,06;4;
775 (300x150);18;728_015_SOL_LAMBA_SASE;"Galvanize 
Çelik";1,5;;1,33;1;
775 (300x150);19;728_016_LAMBA_SASE_UCU;"Galvanize 
Çelik";1,5;;0;2;
775 (300x150);20;S10_002_LED_LAMBA_SOL_12V_(DF-TRS002);plaka_lamba;;;0,42;1;
775 (300x150);21;728_005_LAMBA_KAPAK;"Galvanize 
Çelik";1;;0,6;2;
775 (300x150);22;S10_002_LED_LAMBA_SAG_12V_(DF-TRS002);plaka_lamba;;;0,42;1;
775 (300x150);23;728_007_TAMPON_DESTEK;"1.0037 
(S235JR)";2;;0,29;2;
775 (300x150);24;S01_006_ZIP_TRAILER_PLAKALIK_52x12;Özel Plastik;;;0,32;1;
775 (300x150);25;S02_091_M6x16_DIN933_AKB;;;;;19;
775 (300x150);26;S03_008_M6_PUL_Din_125;;;;;115;
775 (300x150);27;S04_003_M6_FIBERLI_SOMUN_Din_985;;;;;112;
775 (300x150);28;S02_027_M6x16_ISO7380_BOMBEBAŞ-IMBUS;;;;;8;
775 (300x150);29;728_022_ON_POZ_PLAKASI;"Galvanize 
Çelik";2;;0,07;2;
775 (300x150);30;728_023_ON_POZ_SOL_AYAK;"1.0037 
(S235JR)";2;;0,29;1;
775 (300x150);31;S02_077_M5x16_ISO7380_BOMBEBAŞ_IMBUS;;;;;4;
775 (300x150);32;S03_001_M5_PUL_Din_125;;;;;20;
775 (300x150);33;S04_001_M5_FIBERLI_SOMUN_Din_985;;;;;44;
775 (300x150);34;S10_013_ON-REF+LAMBA_12V;Özel Plastik;;;0,04;2;
775 (300x150);35;S02_005_M5x12_ISO7380_BOMBEBAŞ-IMBUS;;;;;8;
775 (300x150);36;728_026_ON_POZ_SAG_AYAK;"1.0037 
(S235JR)";2;;0,29;1;
775 (300x150);37;S02_046_M8x20_Din6921_FLANSLI_CIVATA;;;;;6;
775 (300x150);38;101_002_DENGE_BORUSU;"Galvanize 
Çelik";;Ø48x2x585;1,33;2;
775 (300x150);39;101_003_BORU_SACI;"Galvanize 
Çelik";3;;0,03;2;
775 (300x150);40;101_004_BORU_FLANSI;"Galvanize 
Çelik";3;;0,11;2;
775 (300x150);41;101_005_BORU_KULBU;"1.0037 
(S235JR)";;Ø8x200;0,07;2;
775 (300x150);42;733_010_8x1_TTR_KABLO_12V;KABLO;;;1,36;1;
775 (300x150);43;S10_011_CERKEZ_UNVR-50L_PLAKA_LAMBA_12V;Özel Plastik;;;0,12;2;
775 (300x150);44;S13_004_SOL_KNOTT_1350KG_FRENSIZ_(6A0104.009);"1.0037 
(S235JR)";;;19,42;1;
775 (300x150);45;S13_004_SAG_KNOTT_1350KG_FRENSIZ_(6A0104.009);"1.0037 
(S235JR)";;;19,42;1;
775 (300x150);46;S01_004_175x65xR14_LASTIK;Kauçuk;;;6,1;2;
775 (300x150);47;S03_004_M10_PUL_Din125;;;;;8;
775 (300x150);48;S04_004_M10_FIBERLI_SOMUN_Din_985;;;;;4;
775 (300x150);49;775_003_ON_PLYWD_TABAN_01;huş_plywood;18;"1250x2500x
18";9,59;1;
775 (300x150);50;775_004_YAN_PLYWD_TABAN_02;huş_plywood;18;"1250x2500x
18";23,54;1;
775 (300x150);51;775_005_YAN_PLYWD_TABAN_02_AYNA;huş_plywood;18;"1250x2500x
18";23,54;1;
775 (300x150);52;775_009_TABAN_ARKA_SACI;"Galvanize 
Çelik";1,5;;1,12;1;
775 (300x150);53;768_026_SAC_MENTESE_DIS_SAC;"Galvanize 
Çelik";3;;0,09;2;
775 (300x150);54;768_027_SAC_MENTESE_IC_SAC;"Galvanize 
Çelik";3;;0,04;2;
775 (300x150);55;S02_066_M6x30_MANTARKAFA_Din_603;;;;;79;
775 (300x150);56;S02_029_M6x12_Din_912;;;;;4;
775 (300x150);57;S02_080_M6x40_Din912;;;;;2;
775 (300x150);58;775_006_TABAN_DESTEK_01;"1.0037 
(S235JR)";2;;3,49;1;
775 (300x150);59;775_007_TABAN_DESTEK_02;"1.0037 
(S235JR)";2;;1,29;1;
775 (300x150);60;775_008_TABAN_DESTEK_03;"1.0037 
(S235JR)";2;;2,39;2;
775 (300x150);61;S01_018_D_RING_ALT_SACI;;;;0,02;8;
775 (300x150);62;S01_018_D_RING_Ø6mm;;;;;8;
775 (300x150);63;S02_041_M5x30_ISO7380_BOMBEBAŞ-IMBUS;;;;;16;
775 (300x150);64;775_014_SOL_YAN_SAC;"Galvanize 
Çelik";1,5;;17,5;1;
775 (300x150);65;775_015_KAPAK_ON_PROFIL;"1.0037 
(S235JR)";;"40x30x2,5 
KP.380";0,93;2;
775 (300x150);66;775_016_KAPAK_ARKA_PROFIL;"1.0037 
(S235JR)";;"30x30x1,5 
KP.380";0,63;2;
775 (300x150);67;768_010_MANDAL_ALT_SACI;"1.0037 
(S235JR)";3;;0,06;2;
775 (300x150);68;775_017_KAPAK_DESTEK_PROFIL;"1.0037 
(S235JR)";;"30x20x2mm 
L:2994";2,6;2;
775 (300x150);69;768_018_KAPUT_KILIDI_PROFIL_DESTEK_SACI;"1.0037 
(S235JR)";5;;0,05;2;
775 (300x150);70;S01_008_ Ø25_BRANDA_TUTUCU;Naylon 101;;Ø25xL;0;24;
775 (300x150);71;S02_071_M5x20_ISO7380_BOMBEBAŞ-IMBUS;;;;;24;
775 (300x150);72;765_008_ILAVE_KELEPCESI;"Galvanize 
Çelik";2;;0,09;10;
775 (300x150);73;S10_012_WAS-96x42_REFLEKTOR_AMBER;Özel Plastik;;;0,02;4;
775 (300x150);74;"S01_047_KNOTT_PLASTIK_ÇAMURLUK_220mm_(6BJ12
2.002)";Özel Plastik;;;1,41;2;
775 (300x150);75;S01_012_30X30_PROFIL_TAPASI;Özel Plastik;;;0,01;2;
775 (300x150);76;S01_020_40X30_PROFIL_TAPASI;Özel Plastik;;;0,01;2;
775 (300x150);77;S03_012_M8_GENIS_PUL_DIN_9021;;;;;8;
775 (300x150);78;775_020_ON_SAC;"Galvanize 
Çelik";1,5;;8,75;1;
775 (300x150);79;775_021_ON_KOSE;"1.0037 
(S235JR)";2;;0,35;2;
775 (300x150);80;775_022_KAPAK_DESTEK_PROFIL_KISA;"1.0037 
(S235JR)";;"30x20x1,2m
m KP.1500";1,3;1;
775 (300x150);81;775_025_SAG_YAN_SAC;"Galvanize 
Çelik";1,5;;17,52;1;
775 (300x150);82;775_028_ARKA_KAPAK_SAC;"Galvanize 
Çelik";1,5;;8,24;1;
775 (300x150);83;775_029_ARKA_KOSE;"1.0037 
(S235JR)";2;;0,36;2;
775 (300x150);84;768_022_ARKA_KAPAK_KILIT_SACI;"1.0037 
(S235JR)";3;;0,07;2;
775 (300x150);85;S01_034_ORTA_BOY_KAPUT_KILIDI_MONTAJ_90°;;;;0,18;2;
775 (300x150);86;S03_002_M5_RONDELA_Din_127;;;;;8;
775 (300x150);87;"S01_052_KNOTT_B60-
X_TYP_K7,5_CLAMP_(6E0081.080)";;;;;1;
775 (300x150);88;733_015_KAPLIN_SACI_SOL;"1.0037 
(S235JR)";10;;2,28;1;
775 (300x150);89;733_016_KAPLIN_SACI_SAG;"1.0037 
(S235JR)";10;;2,28;1;
775 (300x150);90;727_017_KAPLIN_CIVATA_BORUSU;"1.0037 
(S235JR)";;"Ø21x3,5 
L:40";0,06;2;
775 (300x150);91;S02_098_M12x80_DIN931_AKB;;;;;2;
775 (300x150);92;S02_048_M8x25_Din_933_AKB;;;;;8;
775 (300x150);93;728_033_LAMBA_DESTEK_SACI_01;"1.0037 
(S235JR)";5;;0,19;2;
775 (300x150);94;728_032_LAMBA_DESTEK_SACI_02;"1.0037 
(S235JR)";5;;0,09;2;
775 (300x150);95;728_004_LAMBA_DESTEK_BRAKET;"1.0037 
(S235JR)";3;;0,02;4;
775 (300x150);96;"S15_001_4,2x19_RYSB_MATKAP_UCLU_DIN7504_KAPL
I";;;;;18;
775 (300x150);97;768_024_ZIP_LOGO;"Galvanize 
Çelik";1;;0,02;2;
775 (300x150);98;728_028_SAG_LAMBA_SASE;"Galvanize 
Çelik";1,5;;1,33;1;
775 (300x150);99;S05_003_PERCIN_4,8x10_Iso_15977;;;;;96;
775 (300x150);100;"S01_002_DESTEK_TEKER_KELEPCESI_Ø48_(6X1097.0
01)";;;;0,65;3;
775 (300x150);101;"S01_010_KRIKOLU_DESTEK_TEKERI_150KG_(6X1699.
001)";;;;4,87;1;
775 (300x150);102;"S14_005_13LU_ROMORK_FISI_PLASTIK_12V_(AG4081
0)";Özel Plastik;;;0,02;1;
775 (300x150);103;S14_008_90x90x45 TERMOPLASTIK_BUAT_METE;Özel Plastik;;;0,03;1;
775 (300x150);104;S14_007_SK1_BEYAZ_SIRA_KLEMENS_KLEMSAN;Özel Plastik;;;0,02;2;
775 (300x150);105;733_012_5x1_TTR_KABLO_12V;KABLO;;;0,11;1;
775 (300x150);106;733_013_2x1_TTR_KABLO_12V;KABLO;;;0,09;1;
775 (300x150);107;S01_049_SASE_ETİKETİ;Alümin;0,8;;0,04;1;
775 (300x150);108;728_051_DINGIL_EKLEME_SACI;"Galvanize 
Çelik";3;;0,69;2;
775 (300x150);109;S01_036_R14_JANT_5x112_Ø66_INCITAS;;;;7,7;2;
775 (300x150);110;S02_016_M12x1,5-24_BIJON_(43696-1);;;;;10;
775 (300x150);111;S02_096_M10x30_DIN931_AKB;;;;;4;
775 (300x150);112;S01_009_KANCA;ST37;;;0,06;16;
775 (300x150);113;775_030_ARKA_KAPAK_DESTEK_PROFIL_KISA;"1.0037 
(S235JR)";;"30x20x1,2m
m L:1250";1,26;1;
776 (250x150);1;734_002_YEKPARE_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";15,1;1;
776 (250x150);2;734_003_SASE_EK_PARCA;"1.0037 
(S235JR)";;"100x50x2 
K.P.";3,99;2;
776 (250x150);3;727_014_DINGIL_BAGLANTI_SACI;"1.0037 
(S235JR)";5;;0,87;2;
776 (250x150);4;733_004_TAMPON_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";4,29;1;
776 (250x150);5;733_005_ARA_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";4,1;2;
776 (250x150);6;728_019_ARIS_ARA_SASE;"1.0037 
(S235JR)";;"100x50x2 
K.P.";1,61;1;
776 (250x150);7;727_020_DENGE_AYAK_SASESI;"1.0037 
(S235JR)";3;;1,01;2;
776 (250x150);8;727_032_PILOT_TEKER_DESTEK_SACI;"1.0037 
(S235JR)";3;;0,18;1;
776 (250x150);9;727_011_DESTEK_SACI_04;"1.0037 
(S235JR)";3;;0,05;4;
776 (250x150);10;727_013_DESTEK_SACI_06;"1.0037 
(S235JR)";3;;0,05;4;
776 (250x150);11;S04_002_M12_FIBERLI_SOMUN_Din_985;;;;;2;
776 (250x150);12;S03_013_M12_PUL_Din_125;;;;;2;
776 (250x150);13;S03_007_M8_PUL_Din_125;;;;;22;
776 (250x150);14;S04_010_M8_FIBERLI_SOMUN_DIN985;;;;;22;
776 (250x150);15;S02_015_M8x20_Din_933_AKB;;;;;8;
776 (250x150);16;733_008_TAMPON;"1.0037 
(S235JR)";2;;4,35;1;
776 (250x150);17;727_019_TAMPON_DESTEK_SACI;"1.0037 
(S235JR)";3;;0,06;4;
776 (250x150);18;728_015_SOL_LAMBA_SASE;"Galvanize 
Çelik";1,5;;1,33;1;
776 (250x150);19;728_016_LAMBA_SASE_UCU;"Galvanize 
Çelik";1,5;;0;2;
776 (250x150);20;S10_002_LED_LAMBA_SOL_12V_(DF-TRS002);plaka_lamba;;;0,42;1;
776 (250x150);21;728_005_LAMBA_KAPAK;"Galvanize 
Çelik";1;;0,6;2;
776 (250x150);22;S10_002_LED_LAMBA_SAG_12V_(DF-TRS002);plaka_lamba;;;0,42;1;
776 (250x150);23;728_007_TAMPON_DESTEK;"1.0037 
(S235JR)";2;;0,29;2;
776 (250x150);24;S01_006_ZIP_TRAILER_PLAKALIK_52x12;Özel Plastik;;;0,32;1;
776 (250x150);25;S02_091_M6x16_DIN933_AKB;;;;;19;
776 (250x150);26;S03_008_M6_PUL_Din_125;;;;;96;
776 (250x150);27;S04_003_M6_FIBERLI_SOMUN_Din_985;;;;;93;
776 (250x150);28;S02_027_M6x16_ISO7380_BOMBEBAŞ-IMBUS;;;;;8;
776 (250x150);29;728_022_ON_POZ_PLAKASI;"Galvanize 
Çelik";2;;0,07;2;
776 (250x150);30;728_023_ON_POZ_SOL_AYAK;"1.0037 
(S235JR)";2;;0,29;1;
776 (250x150);31;S02_077_M5x16_ISO7380_BOMBEBAŞ_IMBUS;;;;;4;
776 (250x150);32;S03_001_M5_PUL_Din_125;;;;;16;
776 (250x150);33;S04_001_M5_FIBERLI_SOMUN_Din_985;;;;;38;
776 (250x150);34;S10_013_ON-REF+LAMBA_12V;Özel Plastik;;;0,04;2;
776 (250x150);35;S02_005_M5x12_ISO7380_BOMBEBAŞ-IMBUS;;;;;8;
776 (250x150);36;728_026_ON_POZ_SAG_AYAK;"1.0037 
(S235JR)";2;;0,29;1;
776 (250x150);37;S02_046_M8x20_Din6921_FLANSLI_CIVATA;;;;;6;
776 (250x150);38;101_002_DENGE_BORUSU;"Galvanize 
Çelik";;Ø48x2x585;1,33;2;
776 (250x150);39;101_003_BORU_SACI;"Galvanize 
Çelik";3;;0,03;2;
776 (250x150);40;101_004_BORU_FLANSI;"Galvanize 
Çelik";3;;0,11;2;
776 (250x150);41;101_005_BORU_KULBU;"1.0037 
(S235JR)";;Ø8x200;0,07;2;
776 (250x150);42;734_005_8x1_TTR_KABLO_12V;KABLO;;;1,23;1;
776 (250x150);43;S10_011_CERKEZ_UNVR-50L_PLAKA_LAMBA_12V;Özel Plastik;;;0,12;2;
776 (250x150);44;S01_004_175x65xR14_LASTIK;Kauçuk;;;6,1;2;
776 (250x150);45;S03_004_M10_PUL_Din125;;;;;8;
776 (250x150);46;S04_004_M10_FIBERLI_SOMUN_Din_985;;;;;4;
776 (250x150);47;776_003_PLAYWOOD;PLYWOOD;18;"1250x2500x
18";39,05;1;
776 (250x150);48;776_004_PLAYWOOD_YAN;PLYWOOD;18;"1250x2500x
18";8,18;1;
776 (250x150);49;775_009_TABAN_ARKA_SACI;"Galvanize 
Çelik";1,5;;1,12;1;
776 (250x150);50;776_005_TABAN_DESTEK;"1.0037 
(S235JR)";2;;2,95;2;
776 (250x150);51;768_026_SAC_MENTESE_DIS_SAC;"Galvanize 
Çelik";3;;0,09;2;
776 (250x150);52;768_027_SAC_MENTESE_IC_SAC;"Galvanize 
Çelik";3;;0,04;2;
776 (250x150);53;S02_066_M6x30_MANTARKAFA_Din_603;;;;;60;
776 (250x150);54;S02_029_M6x12_Din_912;;;;;4;
776 (250x150);55;S02_080_M6x40_Din912;;;;;2;
776 (250x150);56;S01_018_D_RING_ALT_SACI;;;;0,02;6;
776 (250x150);57;S01_018_D_RING_Ø6mm;;;;;6;
776 (250x150);58;S02_041_M5x30_ISO7380_BOMBEBAŞ-IMBUS;;;;;12;
776 (250x150);59;775_020_ON_SAC;"Galvanize 
Çelik";1,5;;8,75;1;
776 (250x150);60;775_021_ON_KOSE;"1.0037 
(S235JR)";2;;0,35;2;
776 (250x150);61;775_022_KAPAK_DESTEK_PROFIL_KISA;"1.0037 
(S235JR)";;"30x20x1,2m
m KP.1500";1,3;1;
776 (250x150);62;S01_008_ Ø25_BRANDA_TUTUCU;Naylon 101;;Ø25xL;0;22;
776 (250x150);63;S02_071_M5x20_ISO7380_BOMBEBAŞ-IMBUS;;;;;22;
776 (250x150);64;765_008_ILAVE_KELEPCESI;"Galvanize 
Çelik";2;;0,09;10;
776 (250x150);65;768_007_SOL_YAN_SAC;"Galvanize 
Çelik";1,5;;14,57;1;
776 (250x150);66;775_015_KAPAK_ON_PROFIL;"1.0037 
(S235JR)";;"40x30x2,5 
KP.380";0,93;2;
776 (250x150);67;775_016_KAPAK_ARKA_PROFIL;"1.0037 
(S235JR)";;"30x30x1,5 
KP.380";0,63;2;
776 (250x150);68;768_010_MANDAL_ALT_SACI;"1.0037 
(S235JR)";3;;0,06;2;
776 (250x150);69;768_009_KAPAK_DESTEK_PROFIL;"1.0037 
(S235JR)";;"30x20x1,2m
m KP.2494";2,16;2;
